county,ward,office,district,total.votes,party,candidate,votes
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,DEM,Kamala D. Harris Tim Walz,288
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,REP,Donald J. Trump JD Vance,764
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,CON,Randall Terry Stephen Broden,0
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,LIB,Chase Russell Oliver Mike ter Maat,0
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,WGR,Jill Stein Rudolph Ware,0
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,NP,Claudia De la Cruz Karina Garcia,0
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,NP,Cornel West Melina Abdullah,0
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,NP,"Robert F. Kennedy, Jr. Nicole Shanahan",3
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,NP,Peter Sonski Lauren Onak (write-in),0
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,NP,Cherunda Lynn Fox (write-in),0
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,NP,Brian Kienitz (write-in),0
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,NP,Doug Jenkins Kimberly LaLonde (write-in),0
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,NP,Future Madam Potus Jessica Kennedy (write-in),0
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,NP,"André Ramone McNeil, Sr. (write-in)",0
U.S. Congressional District: 1,Kenosha,President,,Town of BRIGHTON Wards 1-4,,Scattering,1
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,DEM,Kamala D. Harris Tim Walz,313
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,REP,Donald J. Trump JD Vance,672
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,CON,Randall Terry Stephen Broden,2
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,LIB,Chase Russell Oliver Mike ter Maat,1
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,WGR,Jill Stein Rudolph Ware,4
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,NP,Claudia De la Cruz Karina Garcia,0
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,NP,Cornel West Melina Abdullah,0
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,NP,"Robert F. Kennedy, Jr. Nicole Shanahan",5
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,NP,Peter Sonski Lauren Onak (write-in),0
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,NP,Cherunda Lynn Fox (write-in),0
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,NP,Brian Kienitz (write-in),0
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,NP,Doug Jenkins Kimberly LaLonde (write-in),0
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,NP,Future Madam Potus Jessica Kennedy (write-in),0
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,NP,"André Ramone McNeil, Sr. (write-in)",0
U.S. Congressional District: 1,,President,,Town of PARIS Wards 1-2,,Scattering,1
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,DEM,Kamala D. Harris Tim Walz,629
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,REP,Donald J. Trump JD Vance,1547
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,CON,Randall Terry Stephen Broden,3
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,LIB,Chase Russell Oliver Mike ter Maat,2
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,WGR,Jill Stein Rudolph Ware,6
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,NP,Claudia De la Cruz Karina Garcia,0
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,NP,Cornel West Melina Abdullah,1
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,NP,"Robert F. Kennedy, Jr. Nicole Shanahan",13
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,NP,Peter Sonski Lauren Onak (write-in),1
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,NP,Cherunda Lynn Fox (write-in),0
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,NP,Brian Kienitz (write-in),0
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,NP,Doug Jenkins Kimberly LaLonde (write-in),0
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,NP,Future Madam Potus Jessica Kennedy (write-in),0
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,NP,"André Ramone McNeil, Sr. (write-in)",0
U.S. Congressional District: 1,,President,,Town of RANDALL Wards 1-6,,Scattering,8
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,DEM,Kamala D. Harris Tim Walz,234
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,REP,Donald J. Trump JD Vance,323
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,CON,Randall Terry Stephen Broden,0
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,LIB,Chase Russell Oliver Mike ter Maat,2
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,WGR,Jill Stein Rudolph Ware,1
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,NP,Claudia De la Cruz Karina Garcia,0
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,NP,Cornel West Melina Abdullah,0
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,NP,"Robert F. Kennedy, Jr. Nicole Shanahan",5
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,NP,Peter Sonski Lauren Onak (write-in),0
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,NP,Cherunda Lynn Fox (write-in),0
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,NP,Brian Kienitz (write-in),0
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,NP,Doug Jenkins Kimberly LaLonde (write-in),0
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,NP,Future Madam Potus Jessica Kennedy (write-in),0
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,NP,"André Ramone McNeil, Sr. (write-in)",0
U.S. Congressional District: 1,,President,,Town of SOMERS Wards 1-4,,Scattering,2
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,DEM,Kamala D. Harris Tim Walz,714
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,REP,Donald J. Trump JD Vance,1452
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,CON,Randall Terry Stephen Broden,1
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,LIB,Chase Russell Oliver Mike ter Maat,8
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,WGR,Jill Stein Rudolph Ware,4
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,NP,Claudia De la Cruz Karina Garcia,0
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,NP,Cornel West Melina Abdullah,0
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,NP,"Robert F. Kennedy, Jr. Nicole Shanahan",9
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,NP,Peter Sonski Lauren Onak (write-in),0
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,NP,Cherunda Lynn Fox (write-in),0
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,NP,Brian Kienitz (write-in),0
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,NP,Doug Jenkins Kimberly LaLonde (write-in),0
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,NP,Future Madam Potus Jessica Kennedy (write-in),0
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,NP,"André Ramone McNeil, Sr. (write-in)",0
U.S. Congressional District: 1,,President,,Town of WHEATLAND Wards 1-5,,Scattering,3
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,DEM,Kamala D. Harris Tim Walz,500
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,REP,Donald J. Trump JD Vance,982
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,CON,Randall Terry Stephen Broden,0
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,LIB,Chase Russell Oliver Mike ter Maat,5
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,WGR,Jill Stein Rudolph Ware,3
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,NP,Claudia De la Cruz Karina Garcia,0
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,NP,Cornel West Melina Abdullah,1
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,NP,"Robert F. Kennedy, Jr. Nicole Shanahan",8
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,NP,Peter Sonski Lauren Onak (write-in),0
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,NP,Cherunda Lynn Fox (write-in),0
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,NP,Brian Kienitz (write-in),0
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,NP,Doug Jenkins Kimberly LaLonde (write-in),0
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,NP,Future Madam Potus Jessica Kennedy (write-in),0
U.S. Congressional District: 1,,President,,Village of BRISTOL Wards 1-3,NP,"André Ramone McNeil, Sr. (write-in)",0
