county,ward,office,district,total.votes,party,candidate,votes
Adams,Town Of Adams Wards 1-3,Supreme Court,,318,NP,Chris Taylor,155
Adams,Town Of Adams Wards 1-3,Supreme Court,,318,NP,Maria S. Lazar,163
Adams,Town Of Adams Wards 1-3,Supreme Court,,318,,Scattering,0
Adams,Town Of Big Flats Wards 1-2,Supreme Court,,262,NP,Chris Taylor,116
Adams,Town Of Big Flats Wards 1-2,Supreme Court,,262,NP,Maria S. Lazar,146
Adams,Town Of Big Flats Wards 1-2,Supreme Court,,262,,Scattering,0
Adams,Town Of Colburn Ward 1,Supreme Court,,51,NP,Chris Taylor,20
Adams,Town Of Colburn Ward 1,Supreme Court,,51,NP,Maria S. Lazar,31
Adams,Town Of Colburn Ward 1,Supreme Court,,51,,Scattering,0
Adams,Town Of Dell Prairie Wards 1-2,Supreme Court,,401,NP,Chris Taylor,215
Adams,Town Of Dell Prairie Wards 1-2,Supreme Court,,401,NP,Maria S. Lazar,186
Adams,Town Of Dell Prairie Wards 1-2,Supreme Court,,401,,Scattering,0
Adams,Town Of Easton Ward 1,Supreme Court,,237,NP,Chris Taylor,120
Adams,Town Of Easton Ward 1,Supreme Court,,237,NP,Maria S. Lazar,117
Adams,Town Of Easton Ward 1,Supreme Court,,237,,Scattering,0
Adams,Town Of Jackson Wards 1-2,Supreme Court,,372,NP,Chris Taylor,177
Adams,Town Of Jackson Wards 1-2,Supreme Court,,372,NP,Maria S. Lazar,194
Adams,Town Of Jackson Wards 1-2,Supreme Court,,372,,Scattering,1
Adams,Town Of Leola Ward 1,Supreme Court,,63,NP,Chris Taylor,21
Adams,Town Of Leola Ward 1,Supreme Court,,63,NP,Maria S. Lazar,42
Adams,Town Of Leola Ward 1,Supreme Court,,63,,Scattering,0
Adams,Town Of Lincoln Ward 1,Supreme Court,,119,NP,Chris Taylor,48
Adams,Town Of Lincoln Ward 1,Supreme Court,,119,NP,Maria S. Lazar,71
Adams,Town Of Lincoln Ward 1,Supreme Court,,119,,Scattering,0
Adams,Town Of Monroe Ward 1,Supreme Court,,144,NP,Chris Taylor,58
Adams,Town Of Monroe Ward 1,Supreme Court,,144,NP,Maria S. Lazar,86
Adams,Town Of Monroe Ward 1,Supreme Court,,144,,Scattering,0
Adams,Town Of New Chester Wards 1-3,Supreme Court,,211,NP,Chris Taylor,99
Adams,Town Of New Chester Wards 1-3,Supreme Court,,211,NP,Maria S. Lazar,111
Adams,Town Of New Chester Wards 1-3,Supreme Court,,211,,Scattering,1
Adams,Town Of New Haven Ward 1,Supreme Court,,198,NP,Chris Taylor,103
Adams,Town Of New Haven Ward 1,Supreme Court,,198,NP,Maria S. Lazar,94
Adams,Town Of New Haven Ward 1,Supreme Court,,198,,Scattering,1
Adams,Town Of Preston Wards 1-2,Supreme Court,,353,NP,Chris Taylor,157
Adams,Town Of Preston Wards 1-2,Supreme Court,,353,NP,Maria S. Lazar,196
Adams,Town Of Preston Wards 1-2,Supreme Court,,353,,Scattering,0
Adams,Town Of Quincy Wards 1-2,Supreme Court,,324,NP,Chris Taylor,190
Adams,Town Of Quincy Wards 1-2,Supreme Court,,324,NP,Maria S. Lazar,132
Adams,Town Of Quincy Wards 1-2,Supreme Court,,324,,Scattering,2
Adams,Town Of Richfield Ward 1,Supreme Court,,49,NP,Chris Taylor,16
Adams,Town Of Richfield Ward 1,Supreme Court,,49,NP,Maria S. Lazar,33
Adams,Town Of Richfield Ward 1,Supreme Court,,49,,Scattering,0
Adams,Town Of Rome Wards 1-4,Supreme Court,,1248,NP,Chris Taylor,585
Adams,Town Of Rome Wards 1-4,Supreme Court,,1248,NP,Maria S. Lazar,661
Adams,Town Of Rome Wards 1-4,Supreme Court,,1248,,Scattering,2
Adams,Town Of Springville Wards 1-2,Supreme Court,,311,NP,Chris Taylor,153
Adams,Town Of Springville Wards 1-2,Supreme Court,,311,NP,Maria S. Lazar,155
Adams,Town Of Springville Wards 1-2,Supreme Court,,311,,Scattering,3
