county,ward,office,district,total.votes,party,candidate,votes
Columbia,,State Superintendent Of Public Instruction,,22479,NP,Brittany Kinser,10048
Columbia,,State Superintendent Of Public Instruction,,22479,NP,Jill Underly,12340
Columbia,,State Superintendent Of Public Instruction,,22479,NP,Adrianne Melby (write-in),0
Columbia,,State Superintendent Of Public Instruction,,22479,,Scattering,91
Crawford,,State Superintendent Of Public Instruction,,5866,NP,Brittany Kinser,2736
Crawford,,State Superintendent Of Public Instruction,,5866,NP,Jill Underly,3108
Crawford,,State Superintendent Of Public Instruction,,5866,NP,Adrianne Melby (write-in),1
Crawford,,State Superintendent Of Public Instruction,,5866,,Scattering,21
Dane,,State Superintendent Of Public Instruction,,265621,NP,Brittany Kinser,58718
Dane,,State Superintendent Of Public Instruction,,265621,NP,Jill Underly,205935
Dane,,State Superintendent Of Public Instruction,,265621,NP,Adrianne Melby (write-in),5
Dane,,State Superintendent Of Public Instruction,,265621,,Scattering,963
Dodge,,State Superintendent Of Public Instruction,,31320,NP,Brittany Kinser,19313
Dodge,,State Superintendent Of Public Instruction,,31320,NP,Jill Underly,12003
Dodge,,State Superintendent Of Public Instruction,,31320,NP,Adrianne Melby (write-in),4
Dodge,,State Superintendent Of Public Instruction,,31320,,Scattering,0
Door,,State Superintendent Of Public Instruction,,14362,NP,Brittany Kinser,6482
Door,,State Superintendent Of Public Instruction,,14362,NP,Jill Underly,7843
Door,,State Superintendent Of Public Instruction,,14362,NP,Adrianne Melby (write-in),1
Door,,State Superintendent Of Public Instruction,,14362,,Scattering,36
Douglas,,State Superintendent Of Public Instruction,,14250,NP,Brittany Kinser,6095
Douglas,,State Superintendent Of Public Instruction,,14250,NP,Jill Underly,8080
Douglas,,State Superintendent Of Public Instruction,,14250,NP,Adrianne Melby (write-in),3
Douglas,,State Superintendent Of Public Instruction,,14250,,Scattering,72
Dunn,,State Superintendent Of Public Instruction,,15136,NP,Brittany Kinser,7615
Dunn,,State Superintendent Of Public Instruction,,15136,NP,Jill Underly,7482
Dunn,,State Superintendent Of Public Instruction,,15136,NP,Adrianne Melby (write-in),39
Dunn,,State Superintendent Of Public Instruction,,15136,,Scattering,0
Eau Claire,,State Superintendent Of Public Instruction,,40309,NP,Brittany Kinser,15651
Eau Claire,,State Superintendent Of Public Instruction,,40309,NP,Jill Underly,24420
Eau Claire,,State Superintendent Of Public Instruction,,40309,NP,Adrianne Melby (write-in),7
Eau Claire,,State Superintendent Of Public Instruction,,40309,,Scattering,231
Florence,,State Superintendent Of Public Instruction,,1793,NP,Brittany Kinser,1226
Florence,,State Superintendent Of Public Instruction,,1793,NP,Jill Underly,566
Florence,,State Superintendent Of Public Instruction,,1793,NP,Adrianne Melby (write-in),1
Florence,,State Superintendent Of Public Instruction,,1793,,Scattering,0
Fond Du Lac,,State Superintendent Of Public Instruction,,36553,NP,Brittany Kinser,22359
Fond Du Lac,,State Superintendent Of Public Instruction,,36553,NP,Jill Underly,14132
Fond Du Lac,,State Superintendent Of Public Instruction,,36553,NP,Adrianne Melby (write-in),3
Fond Du Lac,,State Superintendent Of Public Instruction,,36553,,Scattering,59
Forest,,State Superintendent Of Public Instruction,,2973,NP,Brittany Kinser,1822
Forest,,State Superintendent Of Public Instruction,,2973,NP,Jill Underly,1140
Forest,,State Superintendent Of Public Instruction,,2973,NP,Adrianne Melby (write-in),0
Forest,,State Superintendent Of Public Instruction,,2973,,Scattering,11
Grant,,State Superintendent Of Public Instruction,,15877,NP,Brittany Kinser,7595
Grant,,State Superintendent Of Public Instruction,,15877,NP,Jill Underly,8260
Grant,,State Superintendent Of Public Instruction,,15877,NP,Adrianne Melby (write-in),1
Grant,,State Superintendent Of Public Instruction,,15877,,Scattering,21
Green,,State Superintendent Of Public Instruction,,14846,NP,Brittany Kinser,6251
Green,,State Superintendent Of Public Instruction,,14846,NP,Jill Underly,8562
Green,,State Superintendent Of Public Instruction,,14846,NP,Adrianne Melby (write-in),0
Green,,State Superintendent Of Public Instruction,,14846,,Scattering,33
Green Lake,,State Superintendent Of Public Instruction,,6983,NP,Brittany Kinser,4463
Green Lake,,State Superintendent Of Public Instruction,,6983,NP,Jill Underly,2511
Green Lake,,State Superintendent Of Public Instruction,,6983,NP,Adrianne Melby (write-in),0
Green Lake,,State Superintendent Of Public Instruction,,6983,,Scattering,9
Iowa,,State Superintendent Of Public Instruction,,10110,NP,Brittany Kinser,3881
Iowa,,State Superintendent Of Public Instruction,,10110,NP,Jill Underly,6197
Iowa,,State Superintendent Of Public Instruction,,10110,NP,Adrianne Melby (write-in),3
Iowa,,State Superintendent Of Public Instruction,,10110,,Scattering,29
Iron,,State Superintendent Of Public Instruction,,2368,NP,Brittany Kinser,1289
Iron,,State Superintendent Of Public Instruction,,2368,NP,Jill Underly,1072
Iron,,State Superintendent Of Public Instruction,,2368,NP,Adrianne Melby (write-in),0
Iron,,State Superintendent Of Public Instruction,,2368,,Scattering,7
Jackson,,State Superintendent Of Public Instruction,,6597,NP,Brittany Kinser,3580
Jackson,,State Superintendent Of Public Instruction,,6597,NP,Jill Underly,3017
Jackson,,State Superintendent Of Public Instruction,,6597,NP,Adrianne Melby (write-in),0
Jackson,,State Superintendent Of Public Instruction,,6597,,Scattering,0
Jefferson,,State Superintendent Of Public Instruction,,31834,NP,Brittany Kinser,16820
Jefferson,,State Superintendent Of Public Instruction,,31834,NP,Jill Underly,14862
Jefferson,,State Superintendent Of Public Instruction,,31834,NP,Adrianne Melby (write-in),2
Jefferson,,State Superintendent Of Public Instruction,,31834,,Scattering,150
Juneau,,State Superintendent Of Public Instruction,,8714,NP,Brittany Kinser,4873
Juneau,,State Superintendent Of Public Instruction,,8714,NP,Jill Underly,3816
Juneau,,State Superintendent Of Public Instruction,,8714,NP,Adrianne Melby (write-in),2
Juneau,,State Superintendent Of Public Instruction,,8714,,Scattering,23
Kenosha,,State Superintendent Of Public Instruction,,53431,NP,Brittany Kinser,26775
Kenosha,,State Superintendent Of Public Instruction,,53431,NP,Jill Underly,26400
Kenosha,,State Superintendent Of Public Instruction,,53431,NP,Adrianne Melby (write-in),7
Kenosha,,State Superintendent Of Public Instruction,,53431,,Scattering,249
Kewaunee,,State Superintendent Of Public Instruction,,8188,NP,Brittany Kinser,5080
Kewaunee,,State Superintendent Of Public Instruction,,8188,NP,Jill Underly,3087
Kewaunee,,State Superintendent Of Public Instruction,,8188,NP,Adrianne Melby (write-in),0
Kewaunee,,State Superintendent Of Public Instruction,,8188,,Scattering,21
La Crosse,,State Superintendent Of Public Instruction,,42955,NP,Brittany Kinser,16650
La Crosse,,State Superintendent Of Public Instruction,,42955,NP,Jill Underly,26302
La Crosse,,State Superintendent Of Public Instruction,,42955,NP,Adrianne Melby (write-in),3
La Crosse,,State Superintendent Of Public Instruction,,42955,,Scattering,0
Lafayette,,State Superintendent Of Public Instruction,,5616,NP,Brittany Kinser,2689
Lafayette,,State Superintendent Of Public Instruction,,5616,NP,Jill Underly,2927
Lafayette,,State Superintendent Of Public Instruction,,5616,NP,Adrianne Melby (write-in),0
Lafayette,,State Superintendent Of Public Instruction,,5616,,Scattering,0
Langlade,,State Superintendent Of Public Instruction,,7069,NP,Brittany Kinser,4395
Langlade,,State Superintendent Of Public Instruction,,7069,NP,Jill Underly,2674
Langlade,,State Superintendent Of Public Instruction,,7069,NP,Adrianne Melby (write-in),0
Langlade,,State Superintendent Of Public Instruction,,7069,,Scattering,0
Lincoln,,State Superintendent Of Public Instruction,,10050,NP,Brittany Kinser,5791
Lincoln,,State Superintendent Of Public Instruction,,10050,NP,Jill Underly,4214
Lincoln,,State Superintendent Of Public Instruction,,10050,NP,Adrianne Melby (write-in),0
Lincoln,,State Superintendent Of Public Instruction,,10050,,Scattering,45
Manitowoc,,State Superintendent Of Public Instruction,,30346,NP,Brittany Kinser,17712
Manitowoc,,State Superintendent Of Public Instruction,,30346,NP,Jill Underly,12548
Manitowoc,,State Superintendent Of Public Instruction,,30346,NP,Adrianne Melby (write-in),7
Manitowoc,,State Superintendent Of Public Instruction,,30346,,Scattering,79
Marathon,,State Superintendent Of Public Instruction,,49448,NP,Brittany Kinser,27505
Marathon,,State Superintendent Of Public Instruction,,49448,NP,Jill Underly,21776
Marathon,,State Superintendent Of Public Instruction,,49448,NP,Adrianne Melby (write-in),3
Marathon,,State Superintendent Of Public Instruction,,49448,,Scattering,164
Marinette,,State Superintendent Of Public Instruction,,14550,NP,Brittany Kinser,8935
Marinette,,State Superintendent Of Public Instruction,,14550,NP,Jill Underly,5517
Marinette,,State Superintendent Of Public Instruction,,14550,NP,Adrianne Melby (write-in),0
Marinette,,State Superintendent Of Public Instruction,,14550,,Scattering,98
Marquette,,State Superintendent Of Public Instruction,,5939,NP,Brittany Kinser,3413
Marquette,,State Superintendent Of Public Instruction,,5939,NP,Jill Underly,2507
Marquette,,State Superintendent Of Public Instruction,,5939,NP,Adrianne Melby (write-in),0
Marquette,,State Superintendent Of Public Instruction,,5939,,Scattering,19
Menominee,,State Superintendent Of Public Instruction,,898,NP,Brittany Kinser,254
Menominee,,State Superintendent Of Public Instruction,,898,NP,Jill Underly,641
Menominee,,State Superintendent Of Public Instruction,,898,NP,Adrianne Melby (write-in),3
Menominee,,State Superintendent Of Public Instruction,,898,,Scattering,0
Milwaukee,,State Superintendent Of Public Instruction,,282765,NP,Brittany Kinser,93851
Milwaukee,,State Superintendent Of Public Instruction,,282765,NP,Jill Underly,187841
Milwaukee,,State Superintendent Of Public Instruction,,282765,NP,Adrianne Melby (write-in),17
Milwaukee,,State Superintendent Of Public Instruction,,282765,,Scattering,1056
Monroe,,State Superintendent Of Public Instruction,,13851,NP,Brittany Kinser,7767
Monroe,,State Superintendent Of Public Instruction,,13851,NP,Jill Underly,6026
Monroe,,State Superintendent Of Public Instruction,,13851,NP,Adrianne Melby (write-in),2
Monroe,,State Superintendent Of Public Instruction,,13851,,Scattering,56
Oconto,,State Superintendent Of Public Instruction,,15603,NP,Brittany Kinser,9998
Oconto,,State Superintendent Of Public Instruction,,15603,NP,Jill Underly,5549
Oconto,,State Superintendent Of Public Instruction,,15603,NP,Adrianne Melby (write-in),2
Oconto,,State Superintendent Of Public Instruction,,15603,,Scattering,54
Oneida,,State Superintendent Of Public Instruction,,15183,NP,Brittany Kinser,8220
Oneida,,State Superintendent Of Public Instruction,,15183,NP,Jill Underly,6896
Oneida,,State Superintendent Of Public Instruction,,15183,NP,Adrianne Melby (write-in),4
Oneida,,State Superintendent Of Public Instruction,,15183,,Scattering,63
Outagamie,,State Superintendent Of Public Instruction,,69669,NP,Brittany Kinser,35057
Outagamie,,State Superintendent Of Public Instruction,,69669,NP,Jill Underly,34610
Outagamie,,State Superintendent Of Public Instruction,,69669,NP,Adrianne Melby (write-in),2
Outagamie,,State Superintendent Of Public Instruction,,69669,,Scattering,0
Ozaukee,,State Superintendent Of Public Instruction,,43685,NP,Brittany Kinser,23658
Ozaukee,,State Superintendent Of Public Instruction,,43685,NP,Jill Underly,19860
Ozaukee,,State Superintendent Of Public Instruction,,43685,NP,Adrianne Melby (write-in),3
Ozaukee,,State Superintendent Of Public Instruction,,43685,,Scattering,164
Pepin,,State Superintendent Of Public Instruction,,2748,NP,Brittany Kinser,1612
Pepin,,State Superintendent Of Public Instruction,,2748,NP,Jill Underly,1136
Pepin,,State Superintendent Of Public Instruction,,2748,NP,Adrianne Melby (write-in),0
Pepin,,State Superintendent Of Public Instruction,,2748,,Scattering,0
Pierce,,State Superintendent Of Public Instruction,,15175,NP,Brittany Kinser,7822
Pierce,,State Superintendent Of Public Instruction,,15175,NP,Jill Underly,7290
Pierce,,State Superintendent Of Public Instruction,,15175,NP,Adrianne Melby (write-in),10
Pierce,,State Superintendent Of Public Instruction,,15175,,Scattering,53
Polk,,State Superintendent Of Public Instruction,,16495,NP,Brittany Kinser,9843
Polk,,State Superintendent Of Public Instruction,,16495,NP,Jill Underly,6643
Polk,,State Superintendent Of Public Instruction,,16495,NP,Adrianne Melby (write-in),9
Polk,,State Superintendent Of Public Instruction,,16495,,Scattering,0
Portage,,State Superintendent Of Public Instruction,,28007,NP,Brittany Kinser,12465
Portage,,State Superintendent Of Public Instruction,,28007,NP,Jill Underly,15358
Portage,,State Superintendent Of Public Instruction,,28007,NP,Adrianne Melby (write-in),41
Portage,,State Superintendent Of Public Instruction,,28007,,Scattering,143
Price,,State Superintendent Of Public Instruction,,5664,NP,Brittany Kinser,3403
Price,,State Superintendent Of Public Instruction,,5664,NP,Jill Underly,2261
Price,,State Superintendent Of Public Instruction,,5664,NP,Adrianne Melby (write-in),0
Price,,State Superintendent Of Public Instruction,,5664,,Scattering,0
Racine,,State Superintendent Of Public Instruction,,67581,NP,Brittany Kinser,35266
Racine,,State Superintendent Of Public Instruction,,67581,NP,Jill Underly,32009
Racine,,State Superintendent Of Public Instruction,,67581,NP,Adrianne Melby (write-in),36
Racine,,State Superintendent Of Public Instruction,,67581,,Scattering,270
Richland,,State Superintendent Of Public Instruction,,5849,NP,Brittany Kinser,2572
Richland,,State Superintendent Of Public Instruction,,5849,NP,Jill Underly,3253
Richland,,State Superintendent Of Public Instruction,,5849,NP,Adrianne Melby (write-in),0
Richland,,State Superintendent Of Public Instruction,,5849,,Scattering,24
Rock,,State Superintendent Of Public Instruction,,51786,NP,Brittany Kinser,20954
Rock,,State Superintendent Of Public Instruction,,51786,NP,Jill Underly,30649
Rock,,State Superintendent Of Public Instruction,,51786,NP,Adrianne Melby (write-in),4
Rock,,State Superintendent Of Public Instruction,,51786,,Scattering,179
Rusk,,State Superintendent Of Public Instruction,,5338,NP,Brittany Kinser,3410
Rusk,,State Superintendent Of Public Instruction,,5338,NP,Jill Underly,1915
Rusk,,State Superintendent Of Public Instruction,,5338,NP,Adrianne Melby (write-in),0
Rusk,,State Superintendent Of Public Instruction,,5338,,Scattering,13
Sauk,,State Superintendent Of Public Instruction,,23702,NP,Brittany Kinser,10233
Sauk,,State Superintendent Of Public Instruction,,23702,NP,Jill Underly,13469
Sauk,,State Superintendent Of Public Instruction,,23702,NP,Adrianne Melby (write-in),0
Sauk,,State Superintendent Of Public Instruction,,23702,,Scattering,0
Sawyer,,State Superintendent Of Public Instruction,,6704,NP,Brittany Kinser,3693
Sawyer,,State Superintendent Of Public Instruction,,6704,NP,Jill Underly,2969
Sawyer,,State Superintendent Of Public Instruction,,6704,NP,Adrianne Melby (write-in),5
Sawyer,,State Superintendent Of Public Instruction,,6704,,Scattering,37
Shawano,,State Superintendent Of Public Instruction,,14195,NP,Brittany Kinser,8863
Shawano,,State Superintendent Of Public Instruction,,14195,NP,Jill Underly,5309
Shawano,,State Superintendent Of Public Instruction,,14195,NP,Adrianne Melby (write-in),2
Shawano,,State Superintendent Of Public Instruction,,14195,,Scattering,21
Sheboygan,,State Superintendent Of Public Instruction,,43276,NP,Brittany Kinser,24226
Sheboygan,,State Superintendent Of Public Instruction,,43276,NP,Jill Underly,18947
Sheboygan,,State Superintendent Of Public Instruction,,43276,NP,Adrianne Melby (write-in),2
Sheboygan,,State Superintendent Of Public Instruction,,43276,,Scattering,101
St. Croix,,State Superintendent Of Public Instruction,,35612,NP,Brittany Kinser,19220
St. Croix,,State Superintendent Of Public Instruction,,35612,NP,Jill Underly,16199
St. Croix,,State Superintendent Of Public Instruction,,35612,NP,Adrianne Melby (write-in),0
St. Croix,,State Superintendent Of Public Instruction,,35612,,Scattering,193
Taylor,,State Superintendent Of Public Instruction,,6911,NP,Brittany Kinser,4532
Taylor,,State Superintendent Of Public Instruction,,6911,NP,Jill Underly,2367
Taylor,,State Superintendent Of Public Instruction,,6911,NP,Adrianne Melby (write-in),12
Taylor,,State Superintendent Of Public Instruction,,6911,,Scattering,0
Trempealeau,,State Superintendent Of Public Instruction,,10037,NP,Brittany Kinser,5575
Trempealeau,,State Superintendent Of Public Instruction,,10037,NP,Jill Underly,4432
Trempealeau,,State Superintendent Of Public Instruction,,10037,NP,Adrianne Melby (write-in),0
Trempealeau,,State Superintendent Of Public Instruction,,10037,,Scattering,30
Vernon,,State Superintendent Of Public Instruction,,11302,NP,Brittany Kinser,5210
Vernon,,State Superintendent Of Public Instruction,,11302,NP,Jill Underly,6041
Vernon,,State Superintendent Of Public Instruction,,11302,NP,Adrianne Melby (write-in),4
Vernon,,State Superintendent Of Public Instruction,,11302,,Scattering,47
Vilas,,State Superintendent Of Public Instruction,,9861,NP,Brittany Kinser,5657
Vilas,,State Superintendent Of Public Instruction,,9861,NP,Jill Underly,4161
Vilas,,State Superintendent Of Public Instruction,,9861,NP,Adrianne Melby (write-in),0
Vilas,,State Superintendent Of Public Instruction,,9861,,Scattering,43
Walworth,,State Superintendent Of Public Instruction,,38570,NP,Brittany Kinser,22123
Walworth,,State Superintendent Of Public Instruction,,38570,NP,Jill Underly,16289
Walworth,,State Superintendent Of Public Instruction,,38570,NP,Adrianne Melby (write-in),8
Walworth,,State Superintendent Of Public Instruction,,38570,,Scattering,150
Washburn,,State Superintendent Of Public Instruction,,6758,NP,Brittany Kinser,4032
Washburn,,State Superintendent Of Public Instruction,,6758,NP,Jill Underly,2705
Washburn,,State Superintendent Of Public Instruction,,6758,NP,Adrianne Melby (write-in),5
Washburn,,State Superintendent Of Public Instruction,,6758,,Scattering,16
Washington,,State Superintendent Of Public Instruction,,59852,NP,Brittany Kinser,39583
Washington,,State Superintendent Of Public Instruction,,59852,NP,Jill Underly,20092
Washington,,State Superintendent Of Public Instruction,,59852,NP,Adrianne Melby (write-in),7
Washington,,State Superintendent Of Public Instruction,,59852,,Scattering,170
Waukesha,,State Superintendent Of Public Instruction,,185046,NP,Brittany Kinser,108989
Waukesha,,State Superintendent Of Public Instruction,,185046,NP,Jill Underly,75577
Waukesha,,State Superintendent Of Public Instruction,,185046,NP,Adrianne Melby (write-in),13
Waukesha,,State Superintendent Of Public Instruction,,185046,,Scattering,467
Waupaca,,State Superintendent Of Public Instruction,,18862,NP,Brittany Kinser,11205
Waupaca,,State Superintendent Of Public Instruction,,18862,NP,Jill Underly,7610
Waupaca,,State Superintendent Of Public Instruction,,18862,NP,Adrianne Melby (write-in),7
Waupaca,,State Superintendent Of Public Instruction,,18862,,Scattering,40
Waushara,,State Superintendent Of Public Instruction,,9207,NP,Brittany Kinser,5866
Waushara,,State Superintendent Of Public Instruction,,9207,NP,Jill Underly,3340
Waushara,,State Superintendent Of Public Instruction,,9207,NP,Adrianne Melby (write-in),1
Waushara,,State Superintendent Of Public Instruction,,9207,,Scattering,0
Winnebago,,State Superintendent Of Public Instruction,,59737,NP,Brittany Kinser,28871
Winnebago,,State Superintendent Of Public Instruction,,59737,NP,Jill Underly,30672
Winnebago,,State Superintendent Of Public Instruction,,59737,NP,Adrianne Melby (write-in),11
Winnebago,,State Superintendent Of Public Instruction,,59737,,Scattering,183
Wood,,State Superintendent Of Public Instruction,,26485,NP,Brittany Kinser,14723
Wood,,State Superintendent Of Public Instruction,,26485,NP,Jill Underly,11658
Wood,,State Superintendent Of Public Instruction,,26485,NP,Adrianne Melby (write-in),18
Wood,,State Superintendent Of Public Instruction,,26485,,Scattering,86
Office Totals:,,State Superintendent Of Public Instruction,,2178569,NP,Brittany Kinser,1022489
Office Totals:,,State Superintendent Of Public Instruction,,2178569,NP,Jill Underly,1148427
Office Totals:,,State Superintendent Of Public Instruction,,2178569,NP,Adrianne Melby (write-in),348
Office Totals:,,State Superintendent Of Public Instruction,,2178569,,Scattering,7305
Adams,,Supreme Court,,8777,NP,Brad Schimel,5171
Adams,,Supreme Court,,8777,NP,Susan Crawford,3600
Adams,,Supreme Court,,8777,,Scattering,6
Ashland,,Supreme Court,,6692,NP,Brad Schimel,2816
Ashland,,Supreme Court,,6692,NP,Susan Crawford,3869
Ashland,,Supreme Court,,6692,,Scattering,7
Barron,,Supreme Court,,17762,NP,Brad Schimel,10719
Barron,,Supreme Court,,17762,NP,Susan Crawford,7037
Barron,,Supreme Court,,17762,,Scattering,6
Bayfield,,Supreme Court,,8643,NP,Brad Schimel,3413
Bayfield,,Supreme Court,,8643,NP,Susan Crawford,5228
Bayfield,,Supreme Court,,8643,,Scattering,2
Brown,,Supreme Court,,99685,NP,Brad Schimel,48228
Brown,,Supreme Court,,99685,NP,Susan Crawford,51403
Brown,,Supreme Court,,99685,,Scattering,54
Buffalo,,Supreme Court,,5585,NP,Brad Schimel,3227
Buffalo,,Supreme Court,,5585,NP,Susan Crawford,2310
Buffalo,,Supreme Court,,5585,,Scattering,48
Burnett,,Supreme Court,,7287,NP,Brad Schimel,4559
Burnett,,Supreme Court,,7287,NP,Susan Crawford,2728
Burnett,,Supreme Court,,7287,,Scattering,0
Calumet,,Supreme Court,,22043,NP,Brad Schimel,12288
Calumet,,Supreme Court,,22043,NP,Susan Crawford,9743
Calumet,,Supreme Court,,22043,,Scattering,12
Chippewa,,Supreme Court,,25634,NP,Brad Schimel,14036
Chippewa,,Supreme Court,,25634,NP,Susan Crawford,11580
Chippewa,,Supreme Court,,25634,,Scattering,18
Clark,,Supreme Court,,10462,NP,Brad Schimel,6639
Clark,,Supreme Court,,10462,NP,Susan Crawford,3815
Clark,,Supreme Court,,10462,,Scattering,8
Columbia,,Supreme Court,,24355,NP,Brad Schimel,11091
Columbia,,Supreme Court,,24355,NP,Susan Crawford,13248
Columbia,,Supreme Court,,24355,,Scattering,16
Crawford,,Supreme Court,,6549,NP,Brad Schimel,3191
Crawford,,Supreme Court,,6549,NP,Susan Crawford,3354
Crawford,,Supreme Court,,6549,,Scattering,4
Dane,,Supreme Court,,286703,NP,Brad Schimel,52372
Dane,,Supreme Court,,286703,NP,Susan Crawford,234129
Dane,,Supreme Court,,286703,,Scattering,202
Dodge,,Supreme Court,,34047,NP,Brad Schimel,21251
Dodge,,Supreme Court,,34047,NP,Susan Crawford,12796
Dodge,,Supreme Court,,34047,,Scattering,0
Door,,Supreme Court,,15315,NP,Brad Schimel,6716
Door,,Supreme Court,,15315,NP,Susan Crawford,8592
Door,,Supreme Court,,15315,,Scattering,7
Douglas,,Supreme Court,,16077,NP,Brad Schimel,6565
Douglas,,Supreme Court,,16077,NP,Susan Crawford,9501
Douglas,,Supreme Court,,16077,,Scattering,11
Dunn,,Supreme Court,,17131,NP,Brad Schimel,8586
Dunn,,Supreme Court,,17131,NP,Susan Crawford,8545
Dunn,,Supreme Court,,17131,,Scattering,0
Eau Claire,,Supreme Court,,43988,NP,Brad Schimel,16334
Eau Claire,,Supreme Court,,43988,NP,Susan Crawford,27618
Eau Claire,,Supreme Court,,43988,,Scattering,36
Florence,,Supreme Court,,2029,NP,Brad Schimel,1472
Florence,,Supreme Court,,2029,NP,Susan Crawford,557
Florence,,Supreme Court,,2029,,Scattering,0
Fond Du Lac,,Supreme Court,,39477,NP,Brad Schimel,23842
Fond Du Lac,,Supreme Court,,39477,NP,Susan Crawford,15634
Fond Du Lac,,Supreme Court,,39477,,Scattering,1
Forest,,Supreme Court,,3357,NP,Brad Schimel,2159
Forest,,Supreme Court,,3357,NP,Susan Crawford,1196
Forest,,Supreme Court,,3357,,Scattering,2
Grant,,Supreme Court,,17528,NP,Brad Schimel,8796
Grant,,Supreme Court,,17528,NP,Susan Crawford,8722
Grant,,Supreme Court,,17528,,Scattering,10
Green,,Supreme Court,,16013,NP,Brad Schimel,6662
Green,,Supreme Court,,16013,NP,Susan Crawford,9343
Green,,Supreme Court,,16013,,Scattering,8
Green Lake,,Supreme Court,,7346,NP,Brad Schimel,4718
Green Lake,,Supreme Court,,7346,NP,Susan Crawford,2626
Green Lake,,Supreme Court,,7346,,Scattering,2
Iowa,,Supreme Court,,10801,NP,Brad Schimel,4123
Iowa,,Supreme Court,,10801,NP,Susan Crawford,6671
Iowa,,Supreme Court,,10801,,Scattering,7
Iron,,Supreme Court,,2746,NP,Brad Schimel,1572
Iron,,Supreme Court,,2746,NP,Susan Crawford,1174
Iron,,Supreme Court,,2746,,Scattering,0
Jackson,,Supreme Court,,7182,NP,Brad Schimel,3683
Jackson,,Supreme Court,,7182,NP,Susan Crawford,3499
Jackson,,Supreme Court,,7182,,Scattering,0
Jefferson,,Supreme Court,,34591,NP,Brad Schimel,18334
Jefferson,,Supreme Court,,34591,NP,Susan Crawford,16230
Jefferson,,Supreme Court,,34591,,Scattering,27
Juneau,,Supreme Court,,9436,NP,Brad Schimel,5579
Juneau,,Supreme Court,,9436,NP,Susan Crawford,3850
Juneau,,Supreme Court,,9436,,Scattering,7
Kenosha,,Supreme Court,,57766,NP,Brad Schimel,27277
Kenosha,,Supreme Court,,57766,NP,Susan Crawford,30434
Kenosha,,Supreme Court,,57766,,Scattering,55
Kewaunee,,Supreme Court,,8549,NP,Brad Schimel,5353
