county,ward,office,district,total.votes,party,candidate,votes
Adams,,State Superintendent Of Public Instruction,,8381,NP,Brittany Kinser,4785
Adams,,State Superintendent Of Public Instruction,,8381,NP,Jill Underly,3541
Adams,,State Superintendent Of Public Instruction,,8381,NP,Adrianne Melby (write-in),1
Adams,,State Superintendent Of Public Instruction,,8381,,Scattering,54
Ashland,,State Superintendent Of Public Instruction,,5917,NP,Brittany Kinser,2578
Ashland,,State Superintendent Of Public Instruction,,5917,NP,Jill Underly,3296
Ashland,,State Superintendent Of Public Instruction,,5917,NP,Adrianne Melby (write-in),1
Ashland,,State Superintendent Of Public Instruction,,5917,,Scattering,42
Barron,,State Superintendent Of Public Instruction,,16669,NP,Brittany Kinser,10142
Barron,,State Superintendent Of Public Instruction,,16669,NP,Jill Underly,6424
Barron,,State Superintendent Of Public Instruction,,16669,NP,Adrianne Melby (write-in),11
Barron,,State Superintendent Of Public Instruction,,16669,,Scattering,92
Bayfield,,State Superintendent Of Public Instruction,,7725,NP,Brittany Kinser,3056
Bayfield,,State Superintendent Of Public Instruction,,7725,NP,Jill Underly,4650
Bayfield,,State Superintendent Of Public Instruction,,7725,NP,Adrianne Melby (write-in),0
Bayfield,,State Superintendent Of Public Instruction,,7725,,Scattering,19
Brown,,State Superintendent Of Public Instruction,,92476,NP,Brittany Kinser,45892
Brown,,State Superintendent Of Public Instruction,,92476,NP,Jill Underly,46319
Brown,,State Superintendent Of Public Instruction,,92476,NP,Adrianne Melby (write-in),2
Brown,,State Superintendent Of Public Instruction,,92476,,Scattering,263
Buffalo,,State Superintendent Of Public Instruction,,5585,NP,Brittany Kinser,2989
Buffalo,,State Superintendent Of Public Instruction,,5585,NP,Jill Underly,2081
Buffalo,,State Superintendent Of Public Instruction,,5585,NP,Adrianne Melby (write-in),1
Buffalo,,State Superintendent Of Public Instruction,,5585,,Scattering,514
Burnett,,State Superintendent Of Public Instruction,,6341,NP,Brittany Kinser,3886
Burnett,,State Superintendent Of Public Instruction,,6341,NP,Jill Underly,2454
Burnett,,State Superintendent Of Public Instruction,,6341,NP,Adrianne Melby (write-in),1
Burnett,,State Superintendent Of Public Instruction,,6341,,Scattering,0
Calumet,,State Superintendent Of Public Instruction,,20771,NP,Brittany Kinser,11793
Calumet,,State Superintendent Of Public Instruction,,20771,NP,Jill Underly,8909
Calumet,,State Superintendent Of Public Instruction,,20771,NP,Adrianne Melby (write-in),0
Calumet,,State Superintendent Of Public Instruction,,20771,,Scattering,69
Chippewa,,State Superintendent Of Public Instruction,,22899,NP,Brittany Kinser,12714
Chippewa,,State Superintendent Of Public Instruction,,22899,NP,Jill Underly,10068
Chippewa,,State Superintendent Of Public Instruction,,22899,NP,Adrianne Melby (write-in),6
Chippewa,,State Superintendent Of Public Instruction,,22899,,Scattering,111
Clark,,State Superintendent Of Public Instruction,,9808,NP,Brittany Kinser,6139
Clark,,State Superintendent Of Public Instruction,,9808,NP,Jill Underly,3613
Clark,,State Superintendent Of Public Instruction,,9808,NP,Adrianne Melby (write-in),5
Clark,,State Superintendent Of Public Instruction,,9808,,Scattering,51
