county,ward,office,district,total.votes,party,candidate,votes
Adams,Town Of Adams Wards 1-3,State Superintendent Of Public Instruction,,522,NP,Brittany Kinser,293
Adams,Town Of Adams Wards 1-3,State Superintendent Of Public Instruction,,522,NP,Jill Underly,227
Adams,Town Of Adams Wards 1-3,State Superintendent Of Public Instruction,,522,NP,Adrianne Melby (write-in),0
Adams,Town Of Adams Wards 1-3,State Superintendent Of Public Instruction,,522,,Scattering,2
Adams,Town Of Big Flats Wards 1-2,State Superintendent Of Public Instruction,,443,NP,Brittany Kinser,268
Adams,Town Of Big Flats Wards 1-2,State Superintendent Of Public Instruction,,443,NP,Jill Underly,171
Adams,Town Of Big Flats Wards 1-2,State Superintendent Of Public Instruction,,443,NP,Adrianne Melby (write-in),0
Adams,Town Of Big Flats Wards 1-2,State Superintendent Of Public Instruction,,443,,Scattering,4
Adams,Town Of Colburn Ward 1,State Superintendent Of Public Instruction,,117,NP,Brittany Kinser,80
Adams,Town Of Colburn Ward 1,State Superintendent Of Public Instruction,,117,NP,Jill Underly,36
Adams,Town Of Colburn Ward 1,State Superintendent Of Public Instruction,,117,NP,Adrianne Melby (write-in),0
Adams,Town Of Colburn Ward 1,State Superintendent Of Public Instruction,,117,,Scattering,1
Adams,Town Of Dell Prairie Wards 1-2,State Superintendent Of Public Instruction,,580,NP,Brittany Kinser,295
Adams,Town Of Dell Prairie Wards 1-2,State Superintendent Of Public Instruction,,580,NP,Jill Underly,281
Adams,Town Of Dell Prairie Wards 1-2,State Superintendent Of Public Instruction,,580,NP,Adrianne Melby (write-in),1
Adams,Town Of Dell Prairie Wards 1-2,State Superintendent Of Public Instruction,,580,,Scattering,3
Adams,Town Of Easton Ward 1,State Superintendent Of Public Instruction,,396,NP,Brittany Kinser,225
Adams,Town Of Easton Ward 1,State Superintendent Of Public Instruction,,396,NP,Jill Underly,167
Adams,Town Of Easton Ward 1,State Superintendent Of Public Instruction,,396,NP,Adrianne Melby (write-in),0
Adams,Town Of Easton Ward 1,State Superintendent Of Public Instruction,,396,,Scattering,4
Adams,Town Of Jackson Wards 1-2,State Superintendent Of Public Instruction,,497,NP,Brittany Kinser,289
Adams,Town Of Jackson Wards 1-2,State Superintendent Of Public Instruction,,497,NP,Jill Underly,206
Adams,Town Of Jackson Wards 1-2,State Superintendent Of Public Instruction,,497,NP,Adrianne Melby (write-in),0
Adams,Town Of Jackson Wards 1-2,State Superintendent Of Public Instruction,,497,,Scattering,2
