blk2010ge,blk2020ge,weight
550019501001107,550019501001110,0.983772337898
550019501001107,550019501002001,0.013457085701
550019501001107,550019501002012,0.000336427100
550019501001107,550019501002013,0.001068650900
550019501001108,550019501001102,0.968103533300
550019501001108,550019501002012,0.031896466700
550019501001109,550019501001103,1.000000000000
550019501001110,550019501001101,0.998129331100
550019501001110,550019501002011,0.001870668900
550019501001111,550019501002007,1.000000000000
550019501001112,550019501001110,1.000000000000
550019501001113,550019501001093,1.000000000000
550019501001114,550019501001110,1.000000000000
550019501001115,550019501001093,1.000000000000
550019501001116,550019501001053,1.000000000000
550019501001117,550019501001009,1.000000000000
550019501002000,550019501002003,1.000000000000
550019501002001,550019501002002,1.000000000000
550019501002002,550019501002003,1.000000000000
550019501002003,550019501002002,1.000000000000
550019501002004,550019501002002,1.000000000000
550019501002005,550019501002002,1.000000000000
550019501002006,550019501002002,1.000000000000
550019501002007,550019501002002,1.000000000000
550019501002008,550019501001110,1.000000000000
550019501002009,550019501002013,1.000000000000
550019501002010,550019501002011,1.000000000000
550019501002010,550019501002012,0.000000000000
550019501002011,550019501002007,1.000000000000
550019501002012,550019501002007,1.000000000000
550019501002013,550019501002005,1.000000000000
550019501002014,550019501002006,1.000000000000
550019501002015,550019501002006,1.000000000000
550019501002016,550019501002005,1.000000000000
550019501002017,550019501002005,1.000000000000
550019501002018,550019501002007,1.000000000000
550019501002019,550019501002002,1.000000000000
550019501002020,550019501002004,1.000000000000
550019501002021,550019501002014,1.000000000000
550019501002022,550019501002004,1.000000000000
550019501002023,550019501002006,1.000000000000
550019501002024,550019501002006,1.000000000000
550019501002025,550019501002014,1.000000000000
550019501002026,550019501002015,1.000000000000
550019501002027,550019501002016,1.000000000000
550019501002028,550019501002016,1.000000000000
550019501002029,550019501002018,1.000000000000
550019501002030,550019501002017,1.000000000000
550019501002031,550019501002020,1.000000000000
550019501002032,550019501002021,1.000000000000
550019501002033,550019501002022,1.000000000000
550019501002034,550019501002019,1.000000000000
550019501002035,550019501002023,1.000000000000
550019501002036,550019501002024,1.000000000000
550019501002037,550019501002025,1.000000000000
550019501002038,550019501002026,1.000000000000
550019501002039,550019501002027,1.000000000000
550019501002040,550019501002028,1.000000000000
550019501002041,550019501002029,1.000000000000
550019501002042,550019501002030,1.000000000000
550019501002043,550019501002031,1.000000000000
550019501002044,550019501002030,1.000000000000
550019501002045,550019501002032,1.000000000000
550019501002046,550019501002026,1.000000000000
550019501002047,550019501002033,1.000000000000
550019501002048,550019501002034,1.000000000000
550019501002049,550019501002036,1.000000000000
550019501002050,550019501002035,1.000000000000
550019501002051,550019501002037,1.000000000000
550019501002052,550019501002038,1.000000000000
550019501002053,550019501002039,1.000000000000
550019501002054,550019501002002,1.000000000000
