district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,59127,1614,57513,55793,140,151,276,0,82,403,502,134,32,685,410,575,48238,859,47379,46201,115,125,253,4,77,179,352,40,33,510,293,327
2,57984,2237,55751,52186,601,472,899,66,37,910,433,218,4,905,1118,1503,45285,1048,44244,42127,514,337,651,0,26,243,249,136,4,586,781,743
3,59149,2678,56488,52542,695,42,1921,5,34,373,312,448,0,358,2367,1061,45628,1531,44089,41762,402,37,1263,0,36,97,276,145,4,321,1407,503
4,60331,2932,57426,50964,1904,1590,1011,18,144,640,746,291,140,2485,1314,2634,47704,1745,45961,41347,1523,1227,718,29,76,251,487,168,97,1814,890,1900
5,59709,2411,57275,51583,435,1929,1358,20,215,471,1007,235,70,3001,1575,988,46341,1370,44949,40833,324,1611,881,23,130,238,686,180,53,2349,1064,622
6,59539,1597,57861,53533,313,1495,306,6,112,444,1516,152,0,3002,461,758,45809,820,44972,42328,225,1043,217,10,67,28,908,103,14,1970,319,266
7,54527,13713,40764,32973,3149,102,2503,32,123,1013,281,546,35,445,3037,4195,41831,7590,34225,29020,2411,107,1547,36,104,548,188,261,36,352,1801,2997
8,45831,28150,17541,9213,5701,253,918,4,56,863,248,150,21,546,1052,6599,28599,15288,13185,8252,3476,209,437,5,22,467,146,115,22,386,539,3968
9,48550,24561,23991,15200,4464,129,2377,4,361,935,304,345,5,405,2722,5394,33536,13925,19636,13944,3207,121,1557,0,105,316,224,204,0,328,1761,3521
10,58096,3460,54606,23693,27674,223,1307,9,296,642,205,405,172,602,1706,28509,42981,2159,40794,19812,18820,155,1069,8,176,276,173,275,43,372,1338,19146
11,60762,3760,57010,7029,44233,187,3687,4,481,1142,71,62,96,355,3745,45445,41529,1960,39580,6349,29634,171,2333,0,343,545,64,18,80,315,2352,30262
12,58047,2753,55285,13240,34998,190,4474,5,128,1509,228,260,164,582,4752,36647,40658,1692,38949,12177,22664,101,2445,0,84,926,228,153,125,454,2612,23707
13,56582,2538,54067,47400,1601,144,3409,0,19,308,218,1123,15,360,4523,1887,43344,1439,41931,37608,1129,97,2291,0,23,177,176,570,8,266,2864,1274
14,57020,4714,52329,45792,2830,200,1290,5,96,822,654,561,13,891,1856,3701,45294,2973,42342,38016,2045,137,916,0,75,316,479,284,5,649,1195,2397
15,57949,3336,54608,48002,1578,84,2769,0,145,1019,266,702,5,354,3468,2594,46061,2098,43962,39544,1257,82,2079,4,39,405,246,275,0,325,2354,1646
16,54067,4124,49910,14524,30431,152,2718,0,214,1002,285,271,299,734,2984,31723,40589,2803,37778,13819,20745,147,1691,0,114,656,199,217,187,533,1905,21576
17,58676,3257,55437,14366,35493,209,2644,5,476,1804,242,259,28,476,2886,37309,42665,1822,40856,12361,25235,188,1772,0,218,835,152,98,39,374,1849,26095
18,54424,4404,50034,19034,27012,144,1537,6,372,1444,152,136,187,481,1684,28668,40422,2634,37786,15890,19193,77,1307,4,190,699,147,78,193,418,1394,20095
19,53302,3310,50156,41610,4110,410,1610,14,195,832,409,952,11,837,2583,4945,49753,2992,46888,39284,3781,380,1432,9,158,685,370,784,10,761,2233,4460
20,56977,8430,48609,43574,2100,103,815,29,316,613,669,332,33,799,1151,2754,46192,5031,41172,37743,1452,100,652,21,234,146,521,249,26,644,900,1644
21,57597,6692,50921,45110,2118,182,1514,4,141,785,427,578,23,632,2094,2928,45134,3801,41355,37053,1848,155,1216,13,65,334,349,282,0,504,1511,2181
22,59585,1386,58157,53509,1320,27,2243,0,37,333,196,558,20,247,2762,1591,46076,886,45187,42062,1047,32,1395,4,28,255,157,272,14,209,1634,1334
23,57394,2840,54550,44902,4926,78,2536,10,111,843,246,891,14,338,3435,5815,43202,1400,41817,34963,3920,65,1961,6,32,434,187,258,0,252,2229,4365
24,59063,2144,56927,52232,1385,69,1766,6,170,545,170,559,76,303,2314,2079,46555,1687,44848,41593,1112,70,1372,10,149,229,134,145,16,218,1521,1328
25,58642,2629,55990,52316,524,53,1601,5,154,395,433,538,0,483,2137,929,46573,1293,45263,42997,373,34,1014,5,90,203,347,210,4,385,1221,604
26,58311,4401,53921,47788,1274,70,2932,89,200,787,364,449,4,425,3381,2065,45220,2579,42634,38937,878,57,2001,82,20,259,230,212,0,278,2213,1134
27,57751,3220,54525,49609,697,61,2931,62,108,465,272,285,4,364,3217,1166,45443,1725,43735,40849,495,51,1793,70,33,107,172,111,0,247,1907,605
28,60466,1481,58963,56807,351,217,276,10,196,307,547,268,19,789,542,685,47954,837,47076,45684,281,156,152,9,30,155,419,147,18,599,304,459
29,58629,1372,57254,54121,481,51,1353,4,144,314,411,353,0,457,1701,785,45807,756,45050,43070,416,30,872,8,62,80,316,203,0,347,1065,493
30,60859,1339,59545,57358,361,18,727,23,266,180,264,328,17,293,1062,565,46832,809,46046,44785,279,20,371,5,71,50,220,254,13,245,631,348
