statefp20,countyfp20,county_geoid20,county_name,CVAP_TOT24
55,001,55001,Adams County,17954
55,003,55003,Ashland County,12584
55,005,55005,Barron County,36479
55,007,55007,Bayfield County,13801
55,009,55009,Brown County,201139
55,011,55011,Buffalo County,10603
55,013,55013,Burnett County,14241
55,015,55015,Calumet County,40322
55,017,55017,Chippewa County,52236
55,019,55019,Clark County,23631
55,021,55021,Columbia County,45720
55,023,55023,Crawford County,12816
55,025,55025,Dane County,432755
55,027,55027,Dodge County,70528
55,029,55029,Door County,25225
55,031,55031,Douglas County,35464
55,033,55033,Dunn County,36338
55,035,55035,Eau Claire County,84198
55,037,55037,Florence County,3924
55,039,55039,Fond du Lac County,80268
55,041,55041,Forest County,7548
55,043,55043,Grant County,40468
55,045,55045,Green County,28770
55,047,55047,Green Lake County,14932
55,049,55049,Iowa County,18492
55,051,55051,Iron County,5228
55,053,55053,Jackson County,16426
55,055,55055,Jefferson County,66966
55,057,55057,Juneau County,21336
55,059,55059,Kenosha County,126261
55,061,55061,Kewaunee County,16097
55,063,55063,La Crosse County,96297
55,065,55065,Lafayette County,12318
55,067,55067,Langlade County,15647
55,069,55069,Lincoln County,23217
55,071,55071,Manitowoc County,63657
55,073,55073,Marathon County,105161
55,075,55075,Marinette County,33703
55,077,55077,Marquette County,12633
55,078,55078,Menominee County,2965
55,079,55079,Milwaukee County,661743
55,081,55081,Monroe County,33912
55,083,55083,Oconto County,31657
55,085,55085,Oneida County,31565
55,087,55087,Outagamie County,145014
55,089,55089,Ozaukee County,72291
55,091,55091,Pepin County,5702
55,093,55093,Pierce County,33546
55,095,55095,Polk County,36299
55,097,55097,Portage County,56722
55,099,55099,Price County,11551
55,101,55101,Racine County,147721
55,103,55103,Richland County,13347
55,105,55105,Rock County,123306
55,107,55107,Rusk County,11280
55,109,55109,St. Croix County,72179
55,111,55111,Sauk County,49924
55,113,55113,Sawyer County,15089
55,115,55115,Shawano County,32139
55,117,55117,Sheboygan County,89983
55,119,55119,Taylor County,15213
55,121,55121,Trempealeau County,21422
55,123,55123,Vernon County,22832
55,125,55125,Vilas County,19729
55,127,55127,Walworth County,81665
55,129,55129,Washburn County,13729
55,131,55131,Washington County,107437
55,133,55133,Waukesha County,316719
55,135,55135,Waupaca County,40860
55,137,55137,Waushara County,20128
55,139,55139,Winnebago County,134705
55,141,55141,Wood County,57283
