district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,709970,82409,627599,550179,43220,1003,10233,327,2119,11514,4215,4419,371,5593,14630,55091,551874,48100,503767,452076,30945,771,7792,243,1234,4763,3200,2491,294,4264,10269,35998
2,715622,41423,674171,596078,27864,994,24823,181,1862,10002,3764,7686,910,5666,32531,38790,567068,23714,543357,490309,19428,821,18779,146,1268,4730,2748,4494,589,4162,23287,24752
3,730190,21609,708591,667444,8042,2419,15081,267,1496,5683,4328,3844,90,6828,18924,13796,577653,11318,566356,539214,6535,1896,10379,209,843,2242,3122,1893,96,5103,12286,8869
4,683249,105882,577375,294493,226784,2540,27501,105,3023,13426,3467,4959,1062,7079,32465,241271,508703,61169,447532,255884,156108,2083,18287,71,1692,7066,2688,2879,755,5532,21166,163917
5,726811,41280,685512,640019,11916,805,16050,76,1114,6262,3346,5835,109,4255,21875,18289,575280,25805,549470,519353,8756,667,11702,94,662,2948,2490,2693,106,3263,14387,11822
6,725155,35904,689264,640723,13651,1579,16310,385,1965,5914,4224,4030,495,6293,20345,20059,575566,20704,554869,522893,10415,1461,11030,259,1107,2586,3041,1852,252,4748,12890,13253
7,734637,17096,717519,672704,4613,10592,9691,165,1451,4995,8681,4258,270,19550,13950,9897,580983,9060,571902,542813,3360,7716,6295,143,701,2279,6081,2273,171,13976,8554,5813
8,726881,39664,687217,627714,9837,12280,15167,163,1411,6721,9291,4130,488,22059,19297,17046,565800,21051,544753,506391,6996,9159,10330,144,825,2352,6165,1963,419,15743,12293,9767
