district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,551874,81.92,5.61,8.72,0.14,1.41,0.04,0.22
2,District 2,567068,86.46,3.43,4.18,0.14,3.31,0.03,0.22
3,District 3,577653,93.35,1.13,1.96,0.33,1.8,0.04,0.15
4,District 4,508703,50.3,30.69,12.02,0.41,3.59,0.01,0.33
5,District 5,575280,90.28,1.52,4.49,0.12,2.03,0.02,0.12
6,District 6,575566,90.85,1.81,3.6,0.25,1.92,0.04,0.19
7,District 7,580983,93.43,0.58,1.56,1.33,1.08,0.02,0.12
8,District 8,565800,89.5,1.24,3.72,1.62,1.83,0.03,0.15
