district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,59127,1614,57513,55793,140,151,276,0,82,403,502,134,32,685,410,575,48238,859,47379,46201,115,125,253,4,77,179,352,40,33,510,293,327
2,60149,2284,57846,54281,300,153,1441,0,63,637,517,438,0,684,1881,910,45886,1179,44697,42716,210,147,978,0,5,198,350,62,0,512,1039,389
3,58831,2746,56084,53383,459,94,1131,10,31,377,344,256,0,422,1388,836,45634,1473,44159,42520,290,85,711,0,36,142,250,121,4,323,832,436
4,61848,1729,60149,56957,893,456,410,4,51,264,839,212,12,1322,622,1167,47805,1055,46760,44698,560,395,310,0,20,102,475,136,5,886,451,661
5,59499,2277,57202,51827,566,1950,1159,0,216,344,865,187,70,2875,1351,977,45803,1282,44514,40628,457,1582,793,0,127,164,550,130,53,2174,932,685
6,58810,1585,57228,48710,242,5680,188,7,125,456,1578,206,41,7288,393,739,45704,822,44878,39367,165,4026,110,11,78,23,970,100,43,5030,209,232
7,55261,14274,40947,32823,2955,188,3015,29,119,938,236,624,0,426,3630,3893,42476,8158,34332,28839,2339,191,1917,32,94,467,181,275,1,372,2195,2812
8,45831,28150,17541,9213,5701,253,918,4,56,863,248,150,21,546,1052,6599,28599,15288,13185,8252,3476,209,437,5,22,467,146,115,22,386,539,3968
9,48550,24561,23991,15200,4464,129,2377,4,361,935,304,345,5,405,2722,5394,33536,13925,19636,13944,3207,121,1557,0,105,316,224,204,0,328,1761,3521
10,58096,3460,54606,23693,27674,223,1307,9,296,642,205,405,172,602,1706,28509,42981,2159,40794,19812,18820,155,1069,8,176,276,173,275,43,372,1338,19146
11,60762,3760,57010,7029,44233,187,3687,4,481,1142,71,62,96,355,3745,45445,41529,1960,39580,6349,29634,171,2333,0,343,545,64,18,80,315,2352,30262
12,58047,2753,55285,13240,34998,190,4474,5,128,1509,228,260,164,582,4752,36647,40658,1692,38949,12177,22664,101,2445,0,84,926,228,153,125,454,2612,23707
13,58149,2069,56094,48839,2550,243,2343,5,52,708,372,952,5,623,3292,3270,44284,1339,42957,38268,1797,139,1565,0,59,357,282,491,5,429,2053,2150
14,55985,6984,48982,42459,2980,138,1270,3,100,772,671,614,43,857,1888,3791,45434,4211,41192,36557,2275,136,1050,4,60,279,529,300,35,708,1345,2588
15,56818,3073,53747,48800,656,14,2833,0,32,282,248,802,30,290,3632,962,45086,1846,43254,40196,400,12,1828,0,38,132,190,413,25,227,2236,562
16,54067,4124,49910,14524,30431,152,2718,0,214,1002,285,271,299,734,2984,31723,40589,2803,37778,13819,20745,147,1691,0,114,656,199,217,187,533,1905,21576
17,58676,3257,55437,14366,35493,209,2644,5,476,1804,242,259,28,476,2886,37309,42665,1822,40856,12361,25235,188,1772,0,218,835,152,98,39,374,1849,26095
18,54424,4404,50034,19034,27012,144,1537,6,372,1444,152,136,187,481,1684,28668,40422,2634,37786,15890,19193,77,1307,4,190,699,147,78,193,418,1394,20095
19,53302,3310,50156,41610,4110,410,1610,14,195,832,409,952,11,837,2583,4945,49753,2992,46888,39284,3781,380,1432,9,158,685,370,784,10,761,2233,4460
20,56780,6450,50321,45204,2083,200,694,25,263,920,610,260,35,838,958,3037,46194,3831,42358,38979,1493,168,571,20,191,269,483,138,11,659,714,1791
