district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,48238,95.78,0.24,1.78,0.26,0.52,0.01,0.16
2,District 2,45285,93.03,1.14,2.31,0.74,1.44,0.0,0.06
3,District 3,45628,91.53,0.88,3.36,0.08,2.77,0.0,0.08
4,District 4,47704,86.67,3.19,3.66,2.57,1.51,0.06,0.16
5,District 5,46341,88.11,0.7,2.96,3.48,1.9,0.05,0.28
6,District 6,45809,92.4,0.49,1.79,2.28,0.47,0.02,0.15
7,District 7,41831,69.37,5.76,18.14,0.26,3.7,0.09,0.25
8,District 8,28599,28.85,12.15,53.46,0.73,1.53,0.02,0.08
9,District 9,33536,41.58,9.56,41.52,0.36,4.64,0.0,0.31
10,District 10,42981,46.09,43.79,5.02,0.36,2.49,0.02,0.41
11,District 11,41529,15.29,71.36,4.72,0.41,5.62,0.0,0.83
12,District 12,40658,29.95,55.74,4.16,0.25,6.01,0.0,0.21
13,District 13,43344,86.77,2.6,3.32,0.22,5.29,0.0,0.05
14,District 14,45294,83.93,4.51,6.56,0.3,2.02,0.0,0.17
15,District 15,46061,85.85,2.73,4.55,0.18,4.51,0.01,0.08
16,District 16,40589,34.05,51.11,6.91,0.36,4.17,0.0,0.28
17,District 17,42665,28.97,59.15,4.27,0.44,4.15,0.0,0.51
18,District 18,40422,39.31,47.48,6.52,0.19,3.23,0.01,0.47
19,District 19,49753,78.96,7.6,6.01,0.76,2.88,0.02,0.32
20,District 20,46192,81.71,3.14,10.89,0.22,1.41,0.05,0.51
21,District 21,45134,82.1,4.09,8.42,0.34,2.69,0.03,0.14
22,District 22,46076,91.29,2.27,1.92,0.07,3.03,0.01,0.06
23,District 23,43202,80.93,9.07,3.24,0.15,4.54,0.01,0.07
24,District 24,46555,89.34,2.39,3.62,0.15,2.95,0.02,0.32
25,District 25,46573,92.32,0.8,2.78,0.07,2.18,0.01,0.19
26,District 26,45220,86.11,1.94,5.7,0.13,4.43,0.18,0.04
27,District 27,45443,89.89,1.09,3.8,0.11,3.95,0.15,0.07
28,District 28,47954,95.27,0.59,1.75,0.33,0.32,0.02,0.06
29,District 29,45807,94.02,0.91,1.65,0.07,1.9,0.02,0.14
30,District 30,46832,95.63,0.6,1.73,0.04,0.79,0.01,0.15
31,District 31,45335,88.82,2.18,6.51,0.17,1.04,0.0,0.14
32,District 32,44997,88.97,0.58,8.14,0.09,0.57,0.01,0.09
33,District 33,47162,91.23,0.89,5.09,0.08,0.71,0.01,0.11
34,District 34,50002,93.6,0.34,1.18,2.93,0.2,0.03,0.15
35,District 35,48512,95.93,0.31,1.21,0.5,0.27,0.0,0.06
36,District 36,47443,87.75,0.21,1.42,8.26,0.27,0.01,0.08
37,District 37,45420,93.3,0.63,3.88,0.08,0.55,0.02,0.07
38,District 38,46624,94.21,0.66,3.01,0.12,0.77,0.03,0.01
39,District 39,46637,93.66,0.98,3.68,0.15,0.17,0.02,0.08
40,District 40,46818,95.1,0.79,2.6,0.22,0.26,0.02,0.09
41,District 41,47040,90.89,2.24,3.85,0.61,0.65,0.07,0.07
42,District 42,46820,94.32,1.28,2.43,0.26,0.43,0.0,0.15
43,District 43,45565,94.65,0.73,1.83,0.08,0.55,0.0,0.07
44,District 44,46230,89.55,2.75,4.52,0.11,1.06,0.02,0.14
45,District 45,43699,83.38,7.56,7.03,0.03,0.42,0.0,0.07
46,District 46,45478,83.39,5.17,4.2,0.01,5.28,0.11,0.14
47,District 47,44767,80.42,5.65,5.21,0.17,5.31,0.01,0.36
48,District 48,45141,78.19,9.81,6.22,0.12,2.89,0.03,0.14
49,District 49,46651,95.58,1.37,1.53,0.12,0.65,0.04,0.05
50,District 50,46046,93.84,1.48,2.53,0.35,0.34,0.01,0.03
51,District 51,44951,95.75,0.75,2.13,0.1,0.43,0.03,0.04
52,District 52,45563,89.84,2.36,4.24,0.16,1.74,0.0,0.21
53,District 53,45661,89.58,4.52,2.97,0.44,1.11,0.04,0.38
54,District 54,48727,86.63,3.23,3.72,0.36,3.54,0.07,0.44
55,District 55,46305,91.7,0.94,4.12,0.2,1.29,0.0,0.03
56,District 56,45378,90.93,1.1,2.26,0.32,4.01,0.05,0.06
57,District 57,43876,86.77,1.68,5.68,0.46,3.28,0.01,0.04
